Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,VehicleCategory,VehiclePrice,FraudFound_P,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
Jun,2,Tuesday,Mazda,Urban,Tuesday,Jun,3,Male,Single,32,Policy Holder,Sedan,11007,1,9,400,1,41,40,0,6,34,No,No,External,2,6,2,1994,All Perils
Dec,2,Tuesday,Pontiac,Urban,Friday,Dec,3,Female,Married,42,Policy Holder,Sport,14767,0,8,400,4,44,38,10,7,38,No,No,External,4,-1,1,1994,Liability
Dec,2,Friday,Toyota,Urban,Friday,Dec,2,Female,Married,30,Policy Holder,Sport,22883,0,7,400,1,59,39,2,2,32,No,No,External,2,-1,1,1994,Liability
Nov,5,Monday,Mazda,Urban,Monday,Nov,5,Male,Married,39,Policy Holder,Sport,21906,0,15,400,2,50,48,3,7,39,No,No,External,2,-1,1,1994,Liability
Nov,4,Friday,Chevrolet,Urban,Friday,Nov,4,Male,Married,37,Policy Holder,Sedan,32848,0,15,400,1,55,56,4,7,40,No,No,External,9,-1,1,1994,Collision
Nov,4,Friday,Toyota,Urban,Tuesday,Nov,5,Male,Married,42,Third Party,Sedan,28725,0,13,400,3,49,47,0,7,36,No,No,External,0,-1,1,1994,Collision
Nov,4,Thursday,Toyota,Urban,Thursday,Nov,4,Male,Married,30,Policy Holder,Sedan,24699,0,5,400,4,48,35,0,7,35,No,No,External,0,-1,1,1994,Collision
Nov,4,Thursday,Pontiac,Urban,Thursday,Nov,4,Male,Single,26,Policy Holder,Sedan,25268,0,6,400,4,37,42,2,5,32,Yes,No,External,0,-1,1,1994,Collision
Jun,2,Tuesday,Honda,Urban,Wednesday,Jun,4,Male,Married,30,Policy Holder,Sedan,30680,1,6,400,3,37,34,3,7,31,No,No,External,8,-1,1,1994,Collision
Nov,2,Thursday,Honda,Urban,Friday,Nov,2,Male,Married,56,Policy Holder,Sport,24774,0,10,400,4,46,60,2,8,62,No,No,External,0,-1,1,1994,Liability
Nov,1,Friday,Mazda,Urban,Monday,Nov,2,Male,Married,47,Policy Holder,Sport,33499,0,1,400,4,39,57,1,15,49,No,No,External,0,-1,1,1994,Liability
Nov,1,Tuesday,Pontiac,Rural,Thursday,Nov,4,Male,Married,42,Policy Holder,Sedan,81482,0,11,400,3,38,48,1,15,39,No,No,External,0,-1,1,1994,Collision
Jun,2,Wednesday,Toyota,Urban,Thursday,Jun,3,Female,Single,24,Third Party,Sedan,23457,0,16,400,1,60,41,4,5,26,No,No,External,0,-1,1,1994,Collision
Jun,2,Wednesday,Toyota,Rural,Monday,Jun,2,Male,Married,63,Policy Holder,Sedan,27158,1,7,400,2,33,52,0,7,58,No,No,External,1,-1,1,1994,All Perils
Oct,2,Tuesday,Toyota,Urban,Monday,Oct,3,Male,Single,29,Policy Holder,Sedan,27100,0,3,400,1,37,34,1,7,34,No,No,External,10,-1,1,1994,All Perils
Oct,2,Friday,Toyota,Urban,Tuesday,Oct,2,Male,Married,43,Policy Holder,Sport,35209,0,11,400,4,55,41,0,7,37,No,No,External,0,-1,1,1994,Liability
Oct,2,Saturday,Ford,Urban,Tuesday,Oct,2,Male,Married,67,Policy Holder,Sedan,9498,0,11,400,2,39,53,1,13,71,No,No,External,0,-1,1,1994,All Perils
Oct,1,Thursday,Mazda,Urban,Monday,Oct,2,Female,Single,60,Third Party,Sedan,33364,0,6,400,3,28,20,1,6,65,No,No,External,0,-1,1,1994,Collision
Sep,3,Tuesday,Mazda,Urban,Sunday,Sep,4,Male,Single,30,Policy Holder,Sport,33606,0,15,400,1,45,34,0,7,32,No,No,Internal,10,-1,1,1994,Liability
Sep,4,Thursday,Toyota,Urban,Monday,Sep,4,Male,Married,62,Policy Holder,Sedan,11165,0,8,400,2,44,40,1,13,52,No,No,External,5,-1,1,1994,All Perils
Sep,2,Monday,Ford,Urban,Friday,Sep,3,Male,Married,30,Policy Holder,Sedan,35979,0,4,400,1,36,45,1,7,32,No,No,External,0,-1,1,1994,Collision
Sep,2,Wednesday,Pontiac,Urban,Friday,Sep,2,Male,Married,60,Policy Holder,Sedan,28305,0,14,400,2,55,56,4,14,53,No,No,External,10,1,2,1994,All Perils
Sep,1,Thursday,Toyota,Urban,Monday,Sep,2,Male,Married,31,Policy Holder,Sport,20809,0,5,400,2,37,46,6,7,33,No,No,External,9,-1,1,1994,Liability
Aug,5,Wednesday,Mazda,Urban,Wednesday,Aug,5,Male,Married,45,Policy Holder,Sport,28926,0,5,400,4,43,38,2,7,36,No,No,External,2,-1,1,1994,Liability
Aug,3,Saturday,Pontiac,Urban,Monday,Aug,4,Male,Married,31,Third Party,Sedan,28329,0,3,400,4,48,47,1,6,33,No,No,External,0,-1,1,1994,Collision
Aug,2,Tuesday,Chevrolet,Urban,Tuesday,Aug,2,Male,Married,40,Policy Holder,Utility,76523,0,5,400,1,58,54,4,7,40,No,No,External,3,-1,1,1994,Liability
Aug,1,Thursday,Toyota,Urban,Tuesday,Aug,2,Male,Married,36,Policy Holder,Sport,25995,0,4,400,3,56,56,2,7,39,No,No,External,2,-1,1,1994,Liability
Jul,5,Saturday,Toyota,Rural,Thursday,Aug,1,Male,Married,27,Policy Holder,Sedan,27775,0,7,400,2,46,37,0,5,35,No,No,External,0,-1,1,1994,Collision
Jun,2,Wednesday,Pontiac,Urban,Tuesday,Jul,1,Female,Married,45,Policy Holder,Sedan,22775,1,7,400,1,59,48,1,15,38,No,No,External,1,-1,1,1994,All Perils
Jul,3,Sunday,Honda,Urban,Monday,Jul,3,Female,Married,32,Third Party,Sport,14876,0,14,400,4,56,50,0,7,31,No,No,External,0,-1,1,1994,Liability
Jun,2,Thursday,Accura,Rural,Monday,Jun,4,Female,Married,52,Policy Holder,Sedan,23590,1,9,400,2,51,45,3,7,47,No,No,External,2,-1,1,1994,Collision
Jul,1,Friday,Pontiac,Urban,Monday,Jul,1,Male,Married,47,Policy Holder,Sedan,20267,0,15,400,1,56,51,1,10,44,No,No,External,7,-1,1,1994,All Perils
Jun,5,Tuesday,Pontiac,Urban,Tuesday,Jun,5,Male,Married,29,Policy Holder,Sedan,24212,0,9,400,2,37,34,1,4,35,No,No,External,9,-1,1,1994,Collision
Jun,3,Monday,Honda,Urban,Tuesday,Jun,5,Male,Single,0,Policy Holder,Sport,97249,0,9,400,3,45,59,3,0,16,No,No,External,0,-1,1,1994,Liability
Jun,3,Tuesday,Toyota,Urban,Monday,Jun,3,Male,Married,46,Policy Holder,Sport,22032,0,4,400,4,36,43,2,11,46,No,No,External,2,-1,1,1994,Liability
Jun,3,Tuesday,Honda,Urban,Thursday,Jun,3,Male,Married,27,Third Party,Sport,20875,0,13,400,2,56,40,0,6,34,No,No,External,6,-1,1,1994,Liability
Jun,1,Wednesday,Mazda,Urban,Tuesday,Jul,2,Male,Married,53,Policy Holder,Sedan,27364,0,8,400,1,49,53,0,7,46,No,No,External,0,-1,1,1994,Collision
Jun,2,Friday,Honda,Urban,Wednesday,Jun,5,Male,Single,26,Third Party,Sedan,27751,0,10,400,2,53,46,1,7,31,No,No,External,10,-1,1,1994,Collision
Jun,1,Thursday,Mazda,Urban,Friday,Jul,3,Female,Single,22,Policy Holder,Sedan,26149,0,1,400,1,46,46,1,5,30,No,No,External,0,-1,1,1994,All Perils
May,4,Monday,Mazda,Urban,Tuesday,May,4,Male,Married,29,Policy Holder,Sport,35576,0,3,500,2,57,60,1,7,31,No,No,External,0,3,1,1994,Liability
May,3,Friday,Dodge,Urban,Monday,May,4,Female,Married,29,Policy Holder,Sedan,21601,0,1,400,2,47,56,0,6,35,No,No,External,0,-1,4,1994,All Perils
May,3,Thursday,Mazda,Urban,Wednesday,Jun,2,Male,Single,32,Third Party,Sedan,14180,0,5,400,1,41,51,1,5,34,No,No,External,0,-1,1,1994,All Perils
Apr,4,Friday,Pontiac,Urban,Monday,Apr,4,Male,Married,59,Policy Holder,Sedan,26000,0,8,400,4,59,48,4,10,63,No,No,External,1,4,2,1994,All Perils
Apr,4,Friday,Pontiac,Urban,Monday,Apr,4,Male,Married,53,Policy Holder,Sport,28647,0,7,400,4,38,60,0,15,44,No,No,External,0,-1,1,1994,Liability
Jan,4,Friday,Honda,Urban,Monday,Jan,4,Male,Married,27,Third Party,Sedan,23895,0,4,400,1,33,31,0,7,35,No,No,External,0,-1,1,1994,Collision
Nov,5,Wednesday,Toyota,Urban,Thursday,Dec,1,Female,Single,34,Policy Holder,Sedan,33875,0,3,400,2,49,53,1,6,33,No,No,External,0,-1,1,1994,Collision
Nov,5,Tuesday,Toyota,Urban,Friday,Dec,1,Male,Married,26,Policy Holder,Sedan,8252,0,9,400,2,31,40,0,6,33,No,No,External,0,-1,1,1994,Collision
Sep,4,Monday,Mazda,Rural,Thursday,Sep,5,Male,Married,42,Policy Holder,Sedan,24032,0,15,400,4,46,49,7,6,39,Yes,No,External,2,-1,1,1994,Collision
Jun,2,Friday,Pontiac,Urban,Tuesday,Jun,3,Male,Single,34,Policy Holder,Sedan,21426,1,12,400,4,49,41,2,6,32,No,No,External,2,-1,1,1994,Collision
Dec,1,Thursday,Honda,Urban,Wednesday,Dec,4,Female,Married,50,Policy Holder,Sedan,33656,0,8,400,2,31,39,0,6,42,No,No,External,0,-1,1,1994,Collision
Jun,2,Friday,Toyota,Urban,Monday,Jun,3,Male,Single,35,Policy Holder,Sedan,20047,1,7,400,1,57,39,1,6,31,No,No,External,9,-1,1,1994,All Perils
Oct,1,Wednesday,Chevrolet,Urban,Wednesday,Oct,1,Male,Married,55,Policy Holder,Sedan,33216,0,11,400,4,51,32,0,7,48,No,No,External,0,-1,1,1994,Collision
Oct,1,Friday,Honda,Rural,Saturday,Oct,2,Female,Single,41,Policy Holder,Sedan,26561,0,1,400,3,33,44,1,7,38,No,No,External,7,-1,1,1994,Collision
Dec,2,Monday,VW,Urban,Monday,Dec,2,Male,Married,41,Policy Holder,Sport,57825,0,14,400,1,37,51,1,7,39,No,No,External,2,-1,1,1994,Liability
Dec,2,Sunday,Toyota,Urban,Friday,Dec,3,Male,Married,43,Third Party,Sedan,34805,0,5,400,2,36,34,1,11,39,No,No,External,0,-1,1,1994,All Perils
Jan,2,Tuesday,Pontiac,Urban,Tuesday,Jan,2,Male,Married,38,Policy Holder,Sedan,99769,0,10,700,4,31,57,2,8,40,No,No,External,0,-1,1,1994,All Perils
Oct,3,Sunday,Mazda,Urban,Tuesday,Oct,4,Male,Married,49,Policy Holder,Sport,27386,0,10,400,2,36,45,4,6,45,No,No,External,0,-1,1,1994,Liability
Dec,4,Monday,Toyota,Urban,Tuesday,Dec,4,Female,Married,40,Policy Holder,Sedan,32816,0,8,400,3,51,32,0,7,37,No,No,External,8,-1,1,1994,Collision
Aug,2,Saturday,Honda,Urban,Monday,Aug,2,Female,Widow,59,Policy Holder,Sedan,22017,0,3,400,4,47,45,8,7,57,No,No,External,2,-1,1,1994,All Perils
Mar,2,Saturday,Honda,Urban,Monday,Mar,3,Male,Single,0,Third Party,Sport,94944,0,16,400,2,41,40,4,1,17,No,No,External,0,-1,1,1994,Liability
Feb,1,Sunday,Pontiac,Urban,Friday,Feb,2,Male,Married,29,Policy Holder,Sport,28663,0,12,400,1,46,38,9,6,34,No,No,External,0,-1,1,1994,Liability
Feb,4,Thursday,Honda,Urban,Monday,Mar,4,Male,Single,0,Policy Holder,Sport,70490,0,8,400,3,55,50,5,0,17,No,No,External,0,-1,1,1994,Liability
Feb,4,Sunday,Honda,Urban,Monday,Mar,2,Male,Married,60,Third Party,Sedan,26727,0,2,400,1,36,60,0,7,55,No,No,External,5,-1,1,1994,All Perils
Feb,4,Tuesday,Pontiac,Urban,Tuesday,Feb,4,Female,Single,34,Policy Holder,Sport,21425,0,7,400,3,31,48,6,7,31,No,No,External,10,8,2,1994,Liability
Mar,4,Wednesday,Mazda,Urban,Friday,Apr,2,Male,Married,44,Policy Holder,Sedan,27779,0,8,400,1,60,40,1,7,39,No,No,External,6,-1,1,1994,Collision
Mar,4,Thursday,Honda,Urban,Thursday,Apr,3,Male,Married,33,Policy Holder,Sport,99050,0,1,400,2,43,39,5,7,31,No,No,External,9,-1,1,1994,Collision
Feb,4,Thursday,Chevrolet,Urban,Wednesday,Mar,1,Male,Married,37,Policy Holder,Sport,34972,0,2,400,2,55,38,3,6,37,No,No,External,0,-1,1,1994,Liability
Mar,5,Wednesday,Honda,Rural,Tuesday,Jun,1,Male,Single,21,Policy Holder,Sedan,28853,0,6,400,1,38,48,4,5,30,No,No,External,0,-1,1,1994,All Perils
Mar,5,Tuesday,Accura,Urban,Friday,Mar,5,Male,Married,62,Third Party,Sedan,31564,0,12,400,1,34,49,3,11,59,No,No,External,0,-1,1,1994,All Perils
Jun,4,Tuesday,Pontiac,Urban,Wednesday,Jun,5,Male,Married,62,Policy Holder,Utility,77433,0,12,400,3,40,32,4,12,61,No,No,External,0,-1,1,1994,All Perils
Dec,4,Thursday,Mazda,Urban,Saturday,Jan,1,Female,Married,27,Third Party,Sedan,23950,0,14,400,2,52,50,1,7,35,No,No,External,0,-1,1,1994,Collision
Aug,2,Wednesday,Pontiac,Urban,Friday,Aug,3,Male,Single,34,Policy Holder,Sport,26044,0,11,400,1,59,50,4,7,31,No,No,External,2,-1,1,1994,Liability
Mar,4,Wednesday,Saab,Urban,Thursday,Mar,4,Male,Married,47,Third Party,Sedan,34981,0,5,400,1,45,52,4,7,49,No,No,External,0,-1,1,1994,All Perils
Mar,4,Monday,Pontiac,Urban,Tuesday,Mar,4,Male,Married,41,Policy Holder,Sedan,7541,0,6,400,4,60,31,0,7,40,No,No,External,2,-1,1,1994,All Perils
Apr,5,Friday,Mazda,Urban,Monday,May,2,Male,Married,41,Third Party,Sedan,23236,0,10,400,2,51,48,4,7,40,No,No,External,10,-1,1,1994,All Perils
Jun,2,Saturday,Chevrolet,Urban,Thursday,Jun,3,Male,Married,61,Third Party,Sedan,95151,0,1,400,3,39,45,1,15,51,No,No,External,2,-1,1,1994,All Perils
May,4,Wednesday,Honda,Urban,Wednesday,Jun,1,Male,Single,33,Policy Holder,Sport,74531,0,11,400,4,56,58,7,6,33,No,No,External,6,-1,1,1994,Liability
Apr,5,Friday,Accura,Urban,Monday,May,2,Male,Married,32,Policy Holder,Sedan,95537,0,12,400,4,53,52,1,6,34,No,No,External,0,-1,1,1994,All Perils
Jun,4,Monday,Toyota,Urban,Tuesday,Jun,5,Male,Single,35,Policy Holder,Sport,31980,0,4,400,1,52,49,3,6,35,No,No,External,10,-1,1,1994,Liability
Jun,4,Sunday,Pontiac,Urban,Wednesday,Jun,5,Male,Married,64,Policy Holder,Sport,30755,0,6,400,3,57,46,7,9,60,No,No,External,4,-1,1,1994,Liability
Jul,2,Friday,Honda,Urban,Tuesday,Jul,2,Male,Married,55,Third Party,Sedan,37402,0,2,400,3,48,43,4,6,42,No,No,External,0,-1,1,1994,Collision
Jul,1,Wednesday,Pontiac,Urban,Friday,Jul,3,Male,Married,29,Policy Holder,Sport,25421,0,14,400,4,60,31,2,7,33,No,No,External,1,-1,3,1994,Liability
Jun,2,Saturday,Toyota,Urban,Wednesday,Jul,3,Male,Married,40,Third Party,Sedan,27638,0,2,400,1,43,40,3,7,40,No,No,External,0,-1,1,1994,Collision
Aug,3,Tuesday,Pontiac,Urban,Tuesday,Aug,3,Male,Married,55,Policy Holder,Sedan,22616,0,14,400,3,49,44,0,7,47,No,No,External,0,-1,1,1994,Collision
Jul,2,Saturday,Honda,Urban,Monday,Jul,2,Male,Married,23,Policy Holder,Sedan,27037,0,14,400,1,57,43,2,5,28,No,No,External,2,7,2,1994,Collision
Oct,2,Thursday,Mazda,Urban,Wednesday,Oct,3,Female,Married,50,Policy Holder,Sport,35805,0,4,400,1,40,44,0,7,45,No,No,External,0,-1,1,1994,Liability
Oct,4,Thursday,Honda,Urban,Friday,Oct,5,Male,Married,41,Third Party,Sedan,37260,0,7,700,1,37,42,4,7,36,No,No,External,3,-1,1,1994,Collision
Apr,1,Monday,Chevrolet,Urban,Monday,Apr,1,Male,Married,48,Policy Holder,Sedan,27233,0,2,400,2,43,60,0,15,48,No,No,External,1,-1,1,1994,Collision
Jun,1,Tuesday,Pontiac,Urban,Monday,Jun,2,Female,Single,24,Third Party,Sedan,22876,0,14,400,4,60,60,0,3,28,No,No,External,8,-1,1,1994,All Perils
Apr,4,Saturday,Mazda,Urban,Wednesday,Jul,1,Male,Married,64,Policy Holder,Sport,80042,0,5,400,1,50,54,1,6,54,No,No,External,0,-1,1,1994,Collision
Jun,5,Friday,Honda,Urban,Friday,Jul,4,Male,Married,56,Policy Holder,Sport,91584,0,11,500,2,34,34,0,13,65,No,No,External,0,3,1,1994,Collision
Nov,1,Saturday,Toyota,Urban,Monday,Nov,3,Male,Married,61,Third Party,Sedan,25741,0,8,400,2,37,45,0,7,64,No,No,External,0,-1,1,1994,All Perils
Oct,5,Saturday,Pontiac,Urban,Thursday,Nov,1,Male,Married,33,Policy Holder,Sedan,32469,0,11,400,1,54,36,2,6,33,No,No,External,9,-1,1,1994,Collision
Oct,4,Thursday,Mazda,Urban,Thursday,Oct,4,Male,Single,45,Policy Holder,Sport,32501,0,10,400,1,31,60,2,7,38,No,No,External,0,-1,1,1994,Liability
Aug,1,Saturday,Mazda,Urban,Friday,Aug,2,Male,Single,29,Policy Holder,Sedan,34094,0,5,400,2,57,39,0,6,34,No,No,External,6,-1,1,1994,All Perils
Jul,3,Monday,Chevrolet,Urban,Tuesday,Jul,3,Male,Married,50,Policy Holder,Sedan,25369,0,11,400,2,36,56,0,7,46,No,No,External,0,-1,1,1994,Collision
Jul,3,Friday,Mazda,Urban,Tuesday,Jul,3,Male,Married,51,Policy Holder,Sedan,27486,0,11,400,1,52,37,1,9,50,No,No,External,0,-1,1,1994,All Perils
Jun,3,Wednesday,Mazda,Urban,Thursday,Jun,3,Male,Single,34,Policy Holder,Sedan,25459,0,16,400,3,41,53,1,6,35,No,No,External,1,-1,1,1994,Collision
Mar,4,Sunday,Pontiac,Urban,Wednesday,Mar,5,Male,Married,35,Policy Holder,Sedan,17385,0,7,400,2,40,35,1,6,33,No,No,External,5,-1,1,1994,Collision
Mar,4,Friday,Pontiac,Urban,Wednesday,Mar,5,Male,Married,56,Policy Holder,Utility,69387,0,15,400,4,32,55,6,15,57,No,No,External,10,-1,1,1994,All Perils
Mar,4,Tuesday,Toyota,Urban,Saturday,Mar,4,Male,Single,20,Third Party,Sedan,38944,0,5,400,3,60,57,10,4,25,No,No,External,4,-1,1,1994,All Perils
Jun,2,Sunday,Accura,Urban,Wednesday,Jun,5,Male,Married,29,Policy Holder,Sedan,30107,1,11,400,4,52,32,2,7,31,No,No,External,0,-1,1,1994,Collision
Oct,4,Tuesday,Honda,Urban,Monday,Nov,2,Male,Married,63,Policy Holder,Sedan,23541,0,4,400,1,44,44,4,11,64,No,No,External,7,-1,1,1994,Collision
Oct,3,Tuesday,Mazda,Urban,Thursday,Oct,3,Male,Married,40,Third Party,Sedan,28228,0,4,400,3,41,50,1,7,39,No,No,External,3,-1,1,1994,All Perils
Oct,3,Wednesday,Toyota,Urban,Friday,Oct,5,Male,Single,27,Third Party,Sedan,20053,0,7,400,3,45,34,1,5,32,No,No,External,10,-1,1,1994,Collision
Sep,4,Saturday,Pontiac,Urban,Thursday,Oct,4,Male,Married,42,Third Party,Sedan,14600,0,2,400,1,33,53,0,12,39,No,No,External,5,4,2,1994,Collision
Jul,1,Friday,Accura,Urban,Tuesday,Jul,2,Female,Divorced,45,Policy Holder,Sport,30889,0,1,400,1,34,40,3,7,40,No,No,External,10,-1,1,1994,Liability
Jun,2,Saturday,Chevrolet,Urban,Wednesday,Jun,3,Male,Single,35,Policy Holder,Sedan,23251,0,8,400,3,33,47,1,6,32,No,No,External,0,-1,1,1994,Collision
May,5,Monday,Accura,Urban,Monday,Jun,1,Male,Married,36,Policy Holder,Sedan,41261,0,5,400,1,34,50,0,11,37,No,No,External,6,-1,1,1994,All Perils
May,1,Sunday,Honda,Urban,Wednesday,Jun,3,Male,Married,43,Policy Holder,Sedan,7547,0,11,400,1,49,36,0,7,40,No,No,External,0,-1,1,1994,Collision
Apr,2,Friday,Pontiac,Rural,Monday,Apr,2,Male,Married,27,Policy Holder,Sport,24158,0,7,400,2,36,39,1,7,32,No,No,External,7,-1,1,1994,Liability
Apr,1,Monday,Saab,Urban,Tuesday,Apr,1,Male,Married,44,Policy Holder,Sedan,33608,0,11,400,3,45,50,0,15,40,No,No,External,10,-1,1,1994,Collision
Apr,1,Wednesday,Toyota,Urban,Monday,Apr,2,Male,Single,30,Third Party,Sport,30495,0,12,400,3,43,32,7,7,31,No,No,External,4,1,1,1994,Liability
Nov,1,Friday,Toyota,Urban,Monday,Nov,3,Male,Married,51,Third Party,Sedan,47274,0,12,400,3,31,60,4,11,50,No,No,External,3,-1,1,1994,Collision
Jun,4,Tuesday,Mazda,Urban,Tuesday,Jun,4,Female,Married,54,Policy Holder,Sport,24476,0,6,400,4,49,43,0,10,50,No,No,External,8,-1,1,1994,Liability
Jun,2,Monday,Toyota,Urban,Monday,Jun,4,Male,Married,54,Policy Holder,Sedan,26062,1,8,400,1,59,47,1,7,42,No,No,External,3,-1,1,1994,Collision
Apr,2,Wednesday,Pontiac,Urban,Tuesday,Apr,3,Male,Single,34,Policy Holder,Sedan,18534,0,3,400,2,10,20,1,5,31,No,No,External,0,-1,1,1994,All Perils
Mar,1,Monday,Dodge,Urban,Wednesday,Sep,4,Male,Married,30,Third Party,Sedan,35967,0,3,700,3,49,40,1,7,31,No,No,External,0,-1,1,1994,Collision
Mar,1,Saturday,Chevrolet,Urban,Monday,Mar,1,Male,Married,54,Policy Holder,Utility,81609,0,11,400,2,57,54,2,6,46,No,No,External,0,-1,1,1994,All Perils
Mar,1,Thursday,Mazda,Urban,Friday,Mar,1,Male,Single,32,Third Party,Sedan,20196,0,11,400,1,40,34,0,6,34,No,No,External,1,-1,1,1994,Collision
Jun,2,Monday,Pontiac,Urban,Thursday,Jun,3,Male,Married,37,Policy Holder,Sedan,9288,1,13,400,3,55,31,3,6,40,No,No,External,8,-1,1,1994,All Perils
Jun,2,Monday,VW,Urban,Wednesday,Jun,5,Male,Married,64,Policy Holder,Sedan,92426,1,7,400,1,51,52,1,8,54,No,No,External,2,-1,1,1994,All Perils
Mar,1,Friday,Chevrolet,Urban,Tuesday,Mar,2,Male,Married,35,Policy Holder,Sedan,33344,0,8,400,1,48,41,0,5,33,No,No,External,0,-1,4,1994,Collision
Jul,3,Wednesday,Toyota,Urban,Monday,Jul,4,Male,Single,24,Policy Holder,Sedan,25333,0,1,400,1,53,52,2,5,28,No,No,External,1,-1,1,1994,Collision
Aug,1,Monday,Mazda,Urban,Wednesday,Aug,1,Male,Married,31,Policy Holder,Sport,32786,0,1,400,3,38,37,1,7,31,No,No,External,7,-1,1,1994,Liability
Nov,3,Thursday,Pontiac,Urban,Friday,Nov,4,Male,Married,63,Policy Holder,Sedan,21620,0,11,400,2,41,34,0,12,64,No,No,External,6,-1,1,1994,All Perils
Nov,4,Monday,Honda,Urban,Monday,Nov,4,Female,Single,29,Policy Holder,Sedan,23702,0,2,400,1,41,55,3,7,33,No,No,External,0,6,2,1994,Collision
Dec,2,Thursday,Pontiac,Rural,Wednesday,Dec,3,Male,Married,43,Policy Holder,Sedan,32344,0,7,400,2,56,47,1,9,40,No,No,External,7,-1,1,1994,Collision
May,1,Thursday,Toyota,Urban,Friday,May,1,Male,Married,54,Policy Holder,Sport,21533,0,6,400,4,55,42,3,7,48,No,No,External,2,-1,1,1994,Liability
Jun,2,Sunday,Toyota,Urban,Monday,Jun,2,Male,Married,33,Policy Holder,Sedan,33020,0,12,400,3,58,37,4,6,34,No,No,External,2,-1,1,1994,Collision
Aug,2,Wednesday,Pontiac,Urban,Wednesday,Aug,3,Female,Single,40,Policy Holder,Sport,22797,0,13,400,4,52,35,0,7,39,No,No,External,6,-1,1,1994,Liability
Aug,2,Saturday,Chevrolet,Urban,Monday,Aug,3,Female,Married,27,Policy Holder,Sedan,27169,0,12,400,1,35,35,0,5,34,Yes,No,External,3,-1,1,1994,Collision
Aug,4,Monday,Pontiac,Urban,Monday,Aug,4,Male,Married,48,Policy Holder,Sport,31186,0,10,400,4,48,52,3,15,46,No,No,External,10,-1,1,1994,Liability
Sep,2,Saturday,Pontiac,Urban,Thursday,Sep,3,Female,Married,42,Third Party,Sedan,25500,0,4,400,1,42,48,0,7,37,No,No,External,0,-1,1,1994,Collision
Oct,2,Tuesday,Toyota,Urban,Friday,Oct,2,Male,Married,34,Policy Holder,Sedan,9923,0,13,400,3,56,60,0,7,34,No,No,External,0,-1,1,1994,All Perils
Nov,4,Friday,Honda,Urban,Tuesday,Nov,5,Female,Married,30,Third Party,Sedan,26565,0,14,400,1,45,31,3,6,31,No,No,External,0,-1,1,1994,All Perils
Nov,4,Saturday,VW,Urban,Wednesday,Nov,5,Male,Married,80,Policy Holder,Sport,34878,0,3,400,2,59,52,2,12,70,No,No,External,0,-1,1,1994,Liability
Nov,4,Sunday,Toyota,Urban,Monday,Nov,4,Male,Single,34,Third Party,Sedan,25413,0,2,400,1,49,32,0,5,33,No,No,External,0,-1,1,1994,Collision
Nov,5,Thursday,Honda,Urban,Thursday,Dec,2,Male,Married,40,Policy Holder,Sport,28927,0,7,400,2,57,49,3,8,39,No,No,External,0,-1,1,1994,Liability
Nov,5,Wednesday,Dodge,Urban,Thursday,Nov,5,Male,Divorced,52,Policy Holder,Sport,61009,0,14,400,2,39,49,3,7,43,No,No,External,0,-1,1,1994,Liability
Dec,2,Thursday,Pontiac,Urban,Monday,Dec,2,Male,Single,48,Policy Holder,Sedan,17978,0,16,400,4,34,56,0,10,43,No,No,External,0,-1,1,1994,Collision
Dec,1,Sunday,Mazda,Urban,Thursday,Dec,2,Male,Married,37,Policy Holder,Sedan,35880,0,3,500,4,57,56,1,12,38,No,No,External,8,3,1,1994,Collision
Dec,1,Tuesday,Chevrolet,Urban,Thursday,Dec,2,Female,Single,26,Third Party,Sport,20569,0,8,400,1,59,60,0,5,33,No,No,External,3,-1,1,1994,Liability
Nov,4,Thursday,Pontiac,Urban,Monday,Nov,4,Female,Widow,34,Policy Holder,Sedan,88527,0,11,400,4,32,33,3,7,31,No,No,External,10,-1,1,1994,Collision
Oct,3,Tuesday,Pontiac,Urban,Thursday,Oct,3,Male,Single,34,Policy Holder,Sport,27192,0,10,400,3,33,53,3,6,33,No,No,External,3,-1,1,1994,Liability
Oct,1,Wednesday,Toyota,Urban,Wednesday,Oct,1,Male,Married,65,Policy Holder,Sport,73488,0,1,400,1,34,49,2,7,61,No,No,External,0,-1,1,1994,Liability
Sep,3,Tuesday,Honda,Urban,Wednesday,Sep,3,Male,Married,33,Policy Holder,Sport,31392,0,2,400,1,56,49,1,6,31,No,No,External,6,-1,1,1994,Liability
Jun,3,Tuesday,Honda,Urban,Friday,Jul,1,Male,Married,35,Policy Holder,Sport,20597,0,9,400,4,39,45,1,6,33,No,No,External,0,6,2,1994,Liability
Sep,2,Thursday,Pontiac,Urban,Thursday,Sep,3,Male,Married,43,Policy Holder,Sport,36446,0,2,700,1,59,45,1,7,38,No,No,External,8,-1,1,1994,Liability
Aug,5,Wednesday,Pontiac,Urban,Friday,Sep,1,Male,Single,27,Policy Holder,Sedan,27621,0,3,400,4,36,45,1,6,33,No,No,External,0,-1,1,1994,Collision
